city,country,shape,duration (seconds),latitude,longitude,Year_Posted
san marcos,us,cylinder,2700,29.8830556,-97.9411111,2004
chester (uk/england),gb,circle,20,53.2,-2.916667,2008
edna,us,circle,20,28.9783333,-96.6458333,2004
kaneohe,us,light,900,21.4180556,-157.8036111,2004
bristol,us,sphere,300,36.5950000,-82.1888889,2007
penarth (uk/wales),gb,circle,180,51.434722,-3.18,2006
norwalk,us,disk,1200,41.1175000,-73.4083333,1999
pell city,us,disk,180,33.5861111,-86.2861111,2009
live oak,us,disk,120,30.2947222,-82.9841667,2005
hawthorne,us,circle,300,33.9163889,-118.3516667,2003
brevard,us,fireball,180,35.2333333,-82.7344444,2008
bellmore,us,disk,1800,40.6686111,-73.5275,2000
manchester,us,unknown,180,37.1536111,-83.7619444,2008
lexington,us,oval,30,35.8238889,-80.2536111,2010
harlan county,us,circle,1200,36.8430556,-83.3219444,2005
west bloomfield,us,disk,120,42.5377778,-83.2330556,2007
niantic,us,disk,1800,41.3252778,-72.1936111,2003
hudson,us,other,2700,42.3916667,-71.5666667,1999
cardiff (uk/wales),gb,disk,1200,51.5,-3.2,2007
hudson,us,light,1200,38.1055556,-98.6597222,2004
north charleston,us,light,360,32.8544444,-79.975,2008
washougal,us,oval,60,45.5827778,-122.3522222,2014
stoke mandeville (uk/england),gb,cigar,3,51.783333,-0.783333,2009
san antonio,us,other,30,29.4238889,-98.4933333,2005
louisville,us,light,30,38.2541667,-85.7594444,2004
elmont,us,rectangle,300,40.7008333,-73.7133333,2007
poughkeepsie,us,chevron,900,41.7002778,-73.9213889,2005
san diego,us,oval,180,32.7152778,-117.1563889,2001
security,us,unknown,1800,38.7583333,-104.7425,1999
houston,us,sphere,180,29.7630556,-95.3630556,2005
dallas,us,unknown,300,32.7833333,-96.8,2002
manchester,us,light,300,42.9955556,-71.4552778,2010
houston,us,circle,60,29.7630556,-95.3630556,2012
traverse city,us,other,120,44.7630556,-85.6205556,2003
white plains,us,formation,20,41.0338889,-73.7633333,1999
leeds (uk/england),gb,triangle,600,53.8,-1.583333,2003
milwaukee,us,triangle,600,43.0388889,-87.9063889,2007
new gloucester,us,unknown,120,43.9627778,-70.2830556,2009
boulder,us,light,60,40.0150000,-105.27,2006
seattle (ballard area),us,unknown,2,47.6063889,-122.3308333,2004
calabasas,us,disk,300,34.1577778,-118.6375,2004
centralia,us,triangle,60,46.7163889,-122.9530556,2004
ashburn,us,triangle,120,31.7058333,-83.6533333,2007
frisco,us,unknown,1800,35.2350000,-75.6288889,1999
harrisburg,us,triangle,600,40.2736111,-76.8847222,2003
panama city,us,formation,3600,30.1586111,-85.6602778,1999
stafford,us,unknown,10,29.6158333,-95.5575,2012
seymour,us,cigar,60,35.8905556,-83.7247222,2008
weatherford,us,unknown,30,32.7591667,-97.7969444,2005
peoria,us,light,8,40.6936111,-89.5888889,2005
carthage,us,other,60,36.2522222,-85.9516667,2003
burnt hills,us,rectangle,120,42.9097222,-73.8955556,2013
pinebergen,us,light,5,34.1027778,-91.9922222,2001
toronto (greater toronto area) (canada),ca,sphere,3600,43.666667,-79.416667,2013
milwaukee,us,,120,43.0388889,-87.9063889,1999
oakland,us,,60,37.8044444,-122.2697222,1999
higginsville,us,triangle,3,39.0725000,-93.7169444,2000
charleston,us,light,300,32.7763889,-79.9311111,2003
monroe county,us,cylinder,60,39.4402778,-84.3622222,2004
connersville,us,delta,14400,39.6411111,-85.1411111,1999
mesa,us,sphere,30,33.4222222,-111.8219444,2008
bonaire,us,triangle,300,32.5436111,-83.5961111,2007
austin,us,other,3600,43.6666667,-92.9744444,1999
hollywood,us,changing,300,34.0983333,-118.3258333,1998
phoenix (north part),us,fireball,15,33.4483333,-112.0733333,1999
elgin,us,cylinder,1800,42.0372222,-88.2811111,1998
las vegas,us,cigar,600,36.1750000,-115.1363889,1998
las vegas,us,circle,2700,36.1750000,-115.1363889,1999
spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254),us,triangle,600,47.6588889,-117.425,2001
mooresville,us,light,2,35.5847222,-80.8102778,1998
st. john&#39s (canada),ca,egg,7200,47.55,-52.666667,2000
delano,us,fireball,15,35.2650000,-84.5533333,2003
martinez,us,changing,3600,38.0194444,-122.1330556,1999
kansas city,us,unknown,600,39.1141667,-94.6272222,1999
dallas,us,other,10,32.7833333,-96.8,2001
san diego,us,fireball,3600,32.7152778,-117.1563889,1999
kennewick,us,sphere,45,46.2113889,-119.1361111,1999
hayward,us,circle,90,37.6688889,-122.0797222,2001
ashland (at our home),us,light,0,38.7744444,-92.2569444,1999
rachel,us,light,10800,37.6447222,-115.7427778,2005
humphrey,us,sphere,300,41.6916667,-97.4841667,2006
elgin,us,chevron,240,45.5650000,-117.9163889,1999
lewiston,us,oval,2700,44.8838889,-84.3055556,1999
perryville,us,oval,180,37.7241667,-89.8611111,2000
boynton beach,us,other,10,26.5250000,-80.0666667,2000
victoria (canada),ca,cylinder,30,46.216667,-63.483333,2000
brinktown,us,light,1800,38.1266667,-92.0844444,2000
florence,us,light,5,38.9988889,-84.6266667,2000
seattle (west),us,unknown,10,47.6063889,-122.3308333,2003
port orchard,us,diamond,60,47.5405556,-122.635,2009
rockwell city,us,triangle,240,42.3952778,-94.6336111,2002
sydney (nsw&#44 australia),au,formation,180,-33.861481,151.205475,2001
vancouver (canada),ca,other,300,49.25,-123.133333,2011
hayward,us,circle,120,37.6688889,-122.0797222,2001
ottumwa,us,rectangle,300,41.0041667,-92.3736111,2001
fresno,us,changing,900,36.7477778,-119.7713889,2001
phoenix,us,triangle,60,33.4483333,-112.0733333,2001
virginia beach,us,triangle,30,36.8527778,-75.9783333,2002
hayward,us,flash,43,46.0130556,-91.4844444,2002
philomath,us,unknown,5,44.5402778,-123.3663889,2002
adelaide (pt. wakefield) (south australia),au,circle,600,-34.928661,138.598633,2002
seattle,us,sphere,90,47.6063889,-122.3308333,2002
victoria (canada),ca,unknown,120,46.216667,-63.483333,2002
cincinnati,us,other,1800,39.1619444,-84.4569444,2002
portland,us,circle,120,45.5236111,-122.675,2005
burnie (tasmania) (australia),au,cross,0,-41.05584,145.903748,2005
alhambra,us,oval,300,34.0952778,-118.1261111,2004
indianapolis,us,sphere,1800,39.7683333,-86.1580556,2003
centreville,us,other,600,38.8402778,-77.4291667,2003
grand view,us,light,15,42.9897222,-116.0925,2003
temperance,us,oval,18000,41.7791667,-83.5688889,2003
crescent beach,us,formation,37800,33.8075000,-78.7011111,2004
albuquerque,us,light,180,35.0844444,-106.6505556,2007
gleason,us,sphere,1800,45.3088889,-89.4963889,2005
mahwah,us,triangle,180,41.0886111,-74.1441667,2011
portage la prairie (canada),ca,changing,1200,49.966667,-98.3,2004
terre haute,us,sphere,5,39.4666667,-87.4138889,2004
indianapolis,us,oval,15,39.7683333,-86.1580556,2004
nobel (canada),ca,unknown,300,45.416667,-80.1,2004
morgantown,us,circle,10,39.6294444,-79.9561111,2005
berkeley,us,unknown,180,37.8716667,-122.2716667,2005
rock island,us,sphere,3600,41.5094444,-90.5786111,2004
ripley,us,circle,900,42.2669444,-79.7108333,2004
faribault,us,flash,900,44.2950000,-93.2686111,2004
mansfield,us,light,7200,40.7583333,-82.5155556,2004
columbia,us,light,60,38.9516667,-92.3338889,2007
gleason,us,sphere,3000,45.3088889,-89.4963889,2005
seattle,us,other,60,47.6063889,-122.3308333,2005
apache junction,us,other,30,33.4150000,-111.5488889,2005
north miami beach,us,oval,1800,25.9327778,-80.1627778,2005
edgewater,us,,0,28.9886111,-80.9025,2005
los angeles,us,egg,10,34.0522222,-118.2427778,2005
loretto,us,triangle,300,40.5030556,-78.6305556,2006
newtown (uk/wales),gb,formation,360,52.516667,-3.3,2006
lewisburg,us,unknown,240,35.4491667,-86.7888889,2006
north miami beach,us,other,3600,25.9327778,-80.1627778,2005
east wenatchee,us,light,1200,47.4158333,-120.2919444,2005
hendersonville,us,light,600,35.3186111,-82.4611111,2005
brainerd,us,disk,300,46.3580556,-94.2005556,2006
franklin,us,disk,0,39.4805556,-86.055,2005
pennington,us,diamond,3600,31.1911111,-95.2352778,2007
san francisco,us,triangle,600,37.7750000,-122.4183333,2006
blairsville,us,unknown,10,34.8761111,-83.9583333,2006
savannah,us,light,600,35.2247222,-88.2491667,2006
waynesboro,us,triangle,600,38.0683333,-78.8897222,2006
bray,us,other,360,34.6377778,-97.8172222,2009
plymouth (devonshire) (uk/england),gb,formation,120,50.396389,-4.138611,2006
waycross,us,light,120,31.2133333,-82.3541667,2006
wolfforth,us,disk,300,33.5058333,-102.0086111,2006
lyndhurst,us,unknown,300,41.5200000,-81.4888889,2006
knik,us,triangle,0,61.4577778,-149.7288889,2006
lebanon,us,light,14400,44.5366667,-122.9058333,2007
stockbridge,us,changing,3600,33.5441667,-84.2338889,2007
denver,us,changing,2700,39.7391667,-104.9841667,2007
jacksonville,us,sphere,30,30.3319444,-81.6558333,2008
bakersfield,us,circle,0,35.3733333,-119.0177778,2007
indio,us,oval,600,33.7205556,-116.2147222,2009
owego,us,triangle,10800,42.1033333,-76.2625,2007
downingtown,us,circle,120,40.0063889,-75.7036111,2007
austin,us,flash,3,30.2669444,-97.7427778,2007
starrsville (covington),us,sphere,60,33.5394444,-83.8194444,2008
conyers,us,unknown,3600,33.6675000,-84.0177778,2007
vero beach,us,unknown,30,27.6383333,-80.3975,2007
jensen beach,us,oval,120,27.2541667,-80.23,2007
houston,us,formation,35,29.7630556,-95.3630556,2007
duluth,us,light,600,46.7833333,-92.1063889,2008
fleming,us,circle,600,40.6800000,-102.8388889,2007
grove city,us,unknown,3600,41.1577778,-80.0888889,2008
van alstyne,us,other,4,33.4213889,-96.5769444,2007
northglenn,us,triangle,15,39.8855556,-104.9866667,2007
london (canada),ca,other,120,42.983333,-81.25,2009
north branch,us,light,300,45.5113889,-92.98,2008
slingerlands,us,circle,240,42.6291667,-73.865,2008
carlin,us,disk,600,40.7138889,-116.1030556,2010
evansville,us,formation,600,37.9747222,-87.5558333,2008
albany,us,oval,45,42.6525000,-73.7566667,2008
amarillo (hwy. 140),us,flash,0,35.2219444,-101.8308333,2008
fremont,us,triangle,60,37.5483333,-121.9875,2008
yuma,us,triangle,900,32.7252778,-114.6236111,2011
south bend,us,light,600,41.6833333,-86.25,2008
la crescent,us,formation,10,43.8280556,-91.3038889,2008
philadelphia,us,oval,60,39.9522222,-75.1641667,2012
seattle,us,light,180,47.6063889,-122.3308333,2008
pueblo,us,light,300,38.2544444,-104.6086111,2008
cincinnati,us,oval,900,39.1619444,-84.4569444,2008
san diego,us,disk,30,32.7152778,-117.1563889,2008
madison,us,circle,20,43.0730556,-89.4011111,2008
coldwater,us,sphere,60,40.4797222,-84.6283333,2008
crested butte,us,egg,60,38.8697222,-106.9872222,2009
tulsa,us,unknown,6,36.1538889,-95.9925,2009
eagar,us,unknown,180,34.1111111,-109.2908333,2011
suffolk,us,unknown,900,36.7280556,-76.5838889,2009
anaheim,us,light,300,33.8352778,-117.9136111,2009
wilmington,us,light,600,34.2255556,-77.945,2009
leesburg,us,disk,300,39.1155556,-77.5638889,2010
thief river falls,us,other,0,48.1191667,-96.1808333,2012
michigan city,us,changing,900,41.7075000,-86.895,2009
cupertino,us,light,180,37.3230556,-122.0311111,2009
orchard park,us,light,7200,42.7675000,-78.7441667,2011
harrisburg,us,circle,240,40.2736111,-76.8847222,2010
euclid,us,circle,180,41.5930556,-81.5269444,2010
starr,us,formation,600,34.3769444,-82.6958333,2010
leominster,us,flash,0,42.5250000,-71.7602778,2010
